Epoch;Living Animals;Living Plants;Average Energy;Average of Life;Average of Children;
0;1000;2;200;0;0;
1;1000;4;199;0;0;
2;1000;5;198;0;0;
3;1000;6;197;0;0;
4;1000;6;196;0;0;
5;1000;7;195;0;0;
6;1000;9;194;0;0;
7;1000;10;193;0;0;
8;1000;10;192;0;0;
9;1001;12;191;0;0;
10;1002;13;190;0;0;
11;1004;15;188;0;0;
12;1006;15;187;0;0;
13;1007;16;186;0;0;
14;1007;16;185;0;0;
15;1007;18;184;0;0;
16;1007;20;183;0;0;
17;1008;21;182;0;0;
18;1010;23;180;0;0;
19;1012;24;179;0;0;
20;1013;23;178;0;0;
21;1013;24;177;0;0;
22;1014;25;176;0;0;
23;1015;26;175;0;0;
24;1015;27;174;0;0;
25;1016;28;173;0;0;
26;1018;28;172;0;0;
27;1019;29;170;0;0;
28;1019;30;169;0;0;
29;1019;31;168;0;0;
30;1019;32;168;0;0;
31;1020;33;166;0;0;
32;1021;34;165;0;0;
33;1023;36;164;0;0;
34;1023;35;163;0;0;
35;1024;34;162;0;0;
36;1025;34;161;0;0;
37;1026;35;160;0;0;
38;1028;37;159;0;0;
39;1030;37;157;0;0;
40;1031;38;156;0;0;
41;1032;38;155;0;0;
42;1036;40;154;0;0;
43;1039;40;152;0;0;
44;1042;42;151;0;0;
45;1046;40;149;0;0;
46;1048;39;148;0;0;
47;1048;39;147;0;0;
48;1051;40;146;0;0;
49;1053;41;145;0;0;
50;1053;40;144;0;0;
51;1053;41;143;0;0;
52;1054;39;142;0;0;
53;1057;40;141;0;0;
54;1062;40;139;0;0;
55;1069;41;137;0;0;
56;1071;41;136;0;0;
Average;1041;27;172;0;0;
